date,title,self_label
2021-09-14 16:12,"택시기사 92%가 카카오T 쓴다…""시장지배적 사업자""",
2021-09-15 17:08,"한상혁 ""카카오 자정노력 방향 잘 잡아…국민 요구 맞는지 봐야""",
2021-09-14 9:47,"""전국 택시 기사 93%가 카카오T 가입"" 호출 플랫폼 시장 독점 우려",
2021-09-14 10:37,"카카오·네이버 논란속 공정위 뭐했나 ""5년간 기업결합심사 76건 무사통과""",
2021-09-14 19:31,출판계도 카카오·네이버 압박 “출판 생태계 파괴”,
2021-09-15 9:40,"출판업계, 카카오·네이버 '갑질' 주장…""출판 생태계 파괴""",
2021-09-15 16:33,"방통위, 카카오-쿠팡 정조준…‘핀셋 규제’ 입법 예고",
2021-09-15 11:06,"고용부 네이버·카카오 불러 ""직장내 갑질 엄단하라""",
2021.09.15. 오후 2:31,"
			샤이니 민호, 카카오TV 오리지널 '소름' 출연
		",
2021-09-15 16:12,"카카오, ‘3000억 상생안’ 던지고 ‘수익 딜레마’ 빠지다",
2021-09-15 6:22,롯데카드와 손잡은 카카오엔터… 카카오페이지 PLCC 상품 9월 출시,
2021-09-14 18:41,카카오 ‘빠른 호출’ 폐지…택시 기본요금 올라간다?,
2021-09-15 15:55,M&amp;A 큰손' 카카오 떠나면 어쩌나...벤처투자시장 '빨간불',
2021-09-15 17:52,한상혁 “카카오 상생안 낸 건 적절…바람직한지 살펴봐야”,
2021-09-14 3:02,"카카오, 골목상권 침해 비판 커지자… “상생방안 추석전 발표”",
2021-09-13 10:34,"공정위, 카카오 김범수 '자료 누락' 조사",
2021-09-14 18:11,"백기 든 카카오, 골목사업 손뗀다",
2021-09-15 10:36,"송영길, 백기 든 카카오에 “구체적 조치 더 지속돼야”",
2021-09-15 11:36,심상정 “삼성공화국이 카카오공화국 돼선 안돼”,
2021-09-14 18:00,"카카오 상생안, 주가 살렸다",
2021-09-15 3:03,당국 플랫폼 규제에… 내달 예정 카카오페이 상장 또 연기될듯,
2021-09-15 15:08,"카카오, 규제 압박에도 “보험사 설립 예정대로”… 중소형 보험사 긴장",
2021-09-15 9:45,네이버·카카오 저점 찍었나…1%대 ‘반등’,
2021-09-14 14:05,"(2보)카카오 김범수 ""최근 지적, 사회가 울리는 강력한 경종""",
2021-09-14 16:25,카카오T 스마트호출 폐지,
2021-09-13 20:33,신고 누락' 카카오 김범수 정조준했다…상생안 마련,
2021-09-15 4:31,카카오의 극약 처방... 소비자 신뢰 되찾을 수 있을까,
2021-09-15 19:17,"방통위 한상혁 ""카카오 많은 일로 여론폭발시켜…실태조사할 것""(종합)",
2021-09-14 12:46,[취재N팩트] 카카오 총수 김범수 의장 조사...금산분리 위반 혐의도,
2021-09-14 12:35,"""플랫폼 규제, 네이버보단 카카오에 타격 클 것""",
2021-09-15 12:50,사면초가 카카오 ‘상생안’ 발표…“골목상권 철수·3천억 기금 조성”,
2021-09-15 5:06,카카오 계열사 반등했지만… ‘2030 개미들’ 불안,
2021-09-15 5:15,"카카오, '골목상권 논란'에 상생안 마련… 사업방향 재편 속도",
2021-09-15 20:40,[김주하의 '그런데'] 카카오 백기 들었지만,
2021-09-15 10:32,"동반성장' 논란 카카오, 동반성장 평가선 '우수'로 상승",
2021-09-15 13:54,"상생안 내놓은 카카오, ‘골목상권’ 손 떼고 해외진출 집중 관심",
2021-09-15 6:01,"전방위 압박'에 '백기 든 카카오…""미래 때려잡을라"" 우려도",
2021-09-15 11:30,"네이버·카카오 반등…美 증시, 9월 조정론 현실화?",
2021-09-14 20:10,"지네발' 카카오, 전방위 압박에 꺼내든 3천억 상생기금",
2021-09-15 21:03,해외로 눈 돌린 카카오…카카오톡 없이 수익 낼까,
2021-09-15 9:18,네이버 지도'로 가장 많이 찾았다…'카카오맵'은 3위,
2021-09-15 20:40,"[카카오 확장 제동]고개 숙인 '공룡' 플랫폼, '네이버'의 길  vs '일방적' 상생안",
2021-09-15 5:01,"금융 정복 나선 '카카오'…뒤늦게 깨달은 ""바보야, 문제는 규제야""",
2021-09-14 18:19,"""반면교사 아쉽네""…카카오, 네이버 2013년 골목상권 논란 '데자뷔'",
2021-09-15 5:06,‘문어발’ 카카오의 위협… 지자체 공들인 공공자전거 죽을 판,
2021-09-15 18:17,카카오 불똥' 튈라···쿠팡·야놀자도 상생안 내놓는다,
2021-09-14 21:02,"카카오 '긴급 투항'…스마트 호출 폐지, 꽃·간식 배달 철수",
2021-09-15 16:51,"한상혁 방통위원장, ""카카오, 상생 노력 보여줬다""",
2021-09-15 10:54,"與, 카카오 상생안에 ""기울어진 운동장 바로잡는 계기 되길""",
2021-09-15 17:35,집중포화에 백기 든 카카오…'상생안' 통할까,
2021-09-15 6:36,"카카오, 꽃·간식 배달 손 뗀다…상장 준비도 ‘삐꺽’",
2021-09-14 14:30,"[단독] 카카오페이, 상장 일정 또 미룬다",
2021-09-14 19:34,"10년 지난 카카오, 이제 컨트롤타워가 필요하다",
2021-09-14 19:56,"미용실 고객 첫 방문 때 25% 떼가는 카카오…""수수료 횡포""",
2021-09-14 19:49,카카오 '골목상권 철수' 상생안 꺼냈지만…독과점 논란 여전,
2021-09-14 18:30,"與, 국정감사서 카카오 김범수·네이버 이해진 등 줄소환 예고",
2021-09-15 6:43,"""카뱅 지금 들어갈까요?"" 개미들 '카카오 줍줍'…저점 매수 이어지나",
2021-09-14 18:08,‘진격의 카카오’ 결국 백기…국민 서비스에서 ‘카카오 당하다’로,
2021-09-14 16:16,"플랫폼 규제, 카카오가 네이버보다 피해 큰 이유",
2021-09-14 19:37,"카카오 합병 심사 다 통과시킨 공정위 이제야 ""룰 바꾸겠다""",
2021-09-15 11:48,"與, 카카오 상생안에 ""만시지탄이지만 다행""…""제대로 반성해야"" 비판도",
2021-09-15 10:56,"與 전혜숙 ""카카오 갑질, 사라진 것 아냐…제대로 반성하라""",
2021-09-15 13:00,전방위 압박에 카카오 상생방안 발표...규제 피할까?,
2021-09-15 11:53,착잡·당혹…뒤숭숭한 카카오 직원들,
2021-09-15 11:45,"네이버·카카오페이, '소상공인 수수료' 카드사보다 최대 3배 높아",
2021-09-15 3:02,"백기 든 카카오, 골목상권 손뗀다",
2021-09-15 8:25,"[그래픽] 공정위 조사받는 카카오 김범수 의장, 주요 쟁점",
